Spanish,English
potencia,power
judicial,judicial
arrojar,throw
triunfo,triumph
brillante,sparkly
vacío,empty
bolsillo,pocket
negativo,negative
municipal,municipal
curioso,curious
gasto,spending
variedad,variety
miércoles,Wednesday
impulsar,boost
figurar,figure
consumir,consume
reina,Queen
experto,expert
asomar,show
riqueza,wealth
votar,vote
rincón,corner
curiosidad,curiosity
partida,departure
naturalmente,naturally
mental,mental
tasa,rate
manifestación,manifestation
busca,seeks
rodilla,knee
convenir,agree
interpretación,interpretation
diputado,deputy
lentamente,slowly
empresario,entrepreneur
ruta,route
empujar,Push
destinar,be assigned
criticar,criticize
caracterizar,characterize
ánimo,cheer up
conversar,to converse
carro,car
alimentar,feed
tremendo,tremendous
armar,to assemble
consciente,aware
impacto,impact
roca,rock
contemporáneo,contemporary
crítico,critical
columna,column
escala,scale
esencial,essential
sustancia,substance
botella,bottle
estatal,state
comunista,communist
denunciar,report
descender,descend
ejecutar,run
inclinar,tilt
chileno,Chilean
acariciar,to caress
espiritual,spiritual
justificar,justify
entorno,environment
sustituir,replace
verdaderamente,truly
llamado,called
amenaza,threat
jornada,working day
únicamente,only
perdido,lost
rayo,lightning
preferible,preferable
potencia,power
conformar,shape
semejante,similar
imaginación,imagination
oración,prayer
sobrevivir,survive
reflexión,reflection
corredor,runner
relativo,relative
fruto,fruit
gloria,glory
dimensión,dimension
correspondiente,correspondent
externo,external
violento,violent
junta,Council
familiar,family
claro,Sure
conforme,according
fruta,fruit
protagonista,protagonist
tropa,troop
descubrimiento,discovery
sacerdote,priest
ligero,light
avenida,avenue
reconocimiento,recognition
respectar,to respect
típico,typical
excepción,exception
bar,Pub
significativo,significant
fabricar,manufacture
procurar,to procure
lucir,shine
calcular,calculate
contento,happy
continente,continent
conceder,grant
anual,annual
alcance,scope
monte,mountain
ceder,give
peseta,peseta
jurídico,legal
temblar,tremble
colonia,Suburb
plástico,plastic
registro,record
combinar,to combine
firme,firm
condenar,condemn
liberar,break free
tensión,tension
divino,divine
herida,wound
sesión,session
conectar,connect
evidentemente,evidently
oh,oh
fila,row
contexto,context
hilo,thread
vergüenza,shame
administrativo,administrative
engañar,cheat
raza,race
cáncer,Cancer
juntar,put together
caída,drop
angustia,anguish
elaborar,to elaborate
pronunciar,to pronounce
templo,temple
peruano,Peruvian
tristeza,sadness
ala,to
novia,girlfriend
socialista,socialist
juzgar,judge